term,occurence,TF-IDF
accepted,6,0.014965758232758404
access,2,0.004988586077586134
acre,28,0.06984020508620589
action,7,0.017460051271551473
actually,2,0.004988586077586134
addendum,5,0.012471465193965336
addition,4,0.009977172155172269
adopt,1,0.002494293038793067
adoption,1,0.002494293038793067
advice,2,0.004988586077586134
advise,1,0.002494293038793067
aes,6,0.014965758232758404
afternoon,2,0.004988586077586134
agent,1,0.002494293038793067
agreement,153,0.3816268349353393
alert,7,0.017460051271551473
amendment,114,0.2843494064224097
analysis,2,0.004988586077586134
announce,12,0.029931516465516807
announcement,5,0.012471465193965336
antitrust,1,0.002494293038793067
anyone,2,0.004988586077586134
anything,1,0.002494293038793067
approval,2,0.004988586077586134
arrival,3,0.007482879116379202
aspect,8,0.019954344310344537
asset,2,0.004988586077586134
assignment,9,0.022448637349137605
assistance,2,0.004988586077586134
ate,3,0.007482879116379202
atmos,4,0.009977172155172269
attachment,1,0.002494293038793067
attention,6,0.014965758232758404
attorney,4,0.009977172155172269
auction,2,0.004988586077586134
august,2,0.004988586077586134
authority,1,0.002494293038793067
available,3,0.007482879116379202
award,2,0.004988586077586134
back,9,0.022448637349137605
bad,1,0.002494293038793067
bag,4,0.009977172155172269
bar,2,0.004988586077586134
base,7,0.017460051271551473
baseball,1,0.002494293038793067
berry,2,0.004988586077586134
bid,10,0.024942930387930672
bin,2,0.004988586077586134
birthday,11,0.02743722342672374
body,4,0.009977172155172269
born,2,0.004988586077586134
brewer,1,0.002494293038793067
brokerage,4,0.009977172155172269
brown,4,0.009977172155172269
bunch,2,0.004988586077586134
ca,2,0.004988586077586134
canada,3,0.007482879116379202
celebrate,4,0.009977172155172269
center,6,0.014965758232758404
central,7,0.017460051271551473
change,12,0.029931516465516807
charity,2,0.004988586077586134
check,2,0.004988586077586134
chemical,1,0.002494293038793067
child,1,0.002494293038793067
city,12,0.029931516465516807
class,1,0.002494293038793067
clearing,2,0.004988586077586134
clerk,3,0.007482879116379202
click,4,0.009977172155172269
client,1,0.002494293038793067
closure,2,0.004988586077586134
club,2,0.004988586077586134
coast,1,0.002494293038793067
code,2,0.004988586077586134
colorado,3,0.007482879116379202
colossal,1,0.002494293038793067
combat,2,0.004988586077586134
coming,1,0.002494293038793067
comment,1,0.002494293038793067
commitment,1,0.002494293038793067
committee,4,0.009977172155172269
communication,4,0.009977172155172269
company,77,0.1920605639870662
compete,2,0.004988586077586134
compromise,6,0.014965758232758404
computer,2,0.004988586077586134
conduct,2,0.004988586077586134
confidentiality,1,0.002494293038793067
confirm,8,0.019954344310344537
confirmation,11,0.02743722342672374
consideration,1,0.002494293038793067
constellation,4,0.009977172155172269
contact,2,0.004988586077586134
continental,1,0.002494293038793067
contract,116,0.2893379924999958
coop,2,0.004988586077586134
copier,1,0.002494293038793067
cora,1,0.002494293038793067
corn,4,0.009977172155172269
corp,19,0.04739156773706828
corporation,5,0.012471465193965336
correct,2,0.004988586077586134
correction,4,0.009977172155172269
county,34,0.08480596331896428
crane,28,0.06984020508620589
cream,2,0.004988586077586134
credit,16,0.039908688620689074
creek,6,0.014965758232758404
current,1,0.002494293038793067
daily,1,0.002494293038793067
day,6,0.014965758232758404
deadline,2,0.004988586077586134
deal,17,0.04240298165948214
deb,1,0.002494293038793067
declined,2,0.004988586077586134
delivery,2,0.004988586077586134
department,2,0.004988586077586134
disconnect,2,0.004988586077586134
discussion,4,0.009977172155172269
distribute,1,0.002494293038793067
district,13,0.03242580950430988
division,1,0.002494293038793067
doc,3,0.007482879116379202
document,2,0.004988586077586134
domestic,6,0.014965758232758404
dominion,3,0.007482879116379202
dow,2,0.004988586077586134
downstairs,4,0.009977172155172269
downtown,2,0.004988586077586134
draft,26,0.06485161900861976
drill,2,0.004988586077586134
driving,2,0.004988586077586134
due,1,0.002494293038793067
duke,14,0.034920102543102946
ea,2,0.004988586077586134
early,4,0.009977172155172269
earnings,2,0.004988586077586134
electric,8,0.019954344310344537
electronic,2,0.004988586077586134
empire,3,0.007482879116379202
enemy,2,0.004988586077586134
energizer,1,0.002494293038793067
energy,98,0.2444407178017206
entity,4,0.009977172155172269
entry,2,0.004988586077586134
evening,2,0.004988586077586134
every,1,0.002494293038793067
executed,3,0.007482879116379202
express,1,0.002494293038793067
extended,1,0.002494293038793067
extension,2,0.004988586077586134
failure,2,0.004988586077586134
family,2,0.004988586077586134
fare,27,0.06734591204741282
farewell,1,0.002494293038793067
favorite,1,0.002494293038793067
final,7,0.017460051271551473
fine,1,0.002494293038793067
fire,2,0.004988586077586134
firm,47,0.11723177282327417
first,1,0.002494293038793067
fixed,2,0.004988586077586134
flavor,1,0.002494293038793067
floater,2,0.004988586077586134
flooding,6,0.014965758232758404
fly,1,0.002494293038793067
follow,4,0.009977172155172269
fork,1,0.002494293038793067
form,1,0.002494293038793067
foster,1,0.002494293038793067
free,5,0.012471465193965336
froggy,1,0.002494293038793067
fuel,9,0.022448637349137605
gala,2,0.004988586077586134
gas,149,0.37164966278016703
general,2,0.004988586077586134
global,13,0.03242580950430988
god,2,0.004988586077586134
going,4,0.009977172155172269
good,3,0.007482879116379202
grand,2,0.004988586077586134
group,5,0.012471465193965336
guarantee,6,0.014965758232758404
guaranty,13,0.03242580950430988
gulf,1,0.002494293038793067
guy,4,0.009977172155172269
handle,2,0.004988586077586134
happy,2,0.004988586077586134
healing,2,0.004988586077586134
heartland,1,0.002494293038793067
hey,4,0.009977172155172269
hi,5,0.012471465193965336
high,6,0.014965758232758404
holiday,9,0.022448637349137605
holly,8,0.019954344310344537
home,1,0.002494293038793067
hope,2,0.004988586077586134
hour,1,0.002494293038793067
ice,2,0.004988586077586134
imperial,2,0.004988586077586134
important,12,0.029931516465516807
inbound,1,0.002494293038793067
independence,1,0.002494293038793067
independent,4,0.009977172155172269
industry,2,0.004988586077586134
information,18,0.04489727469827521
insider,1,0.002494293038793067
interior,2,0.004988586077586134
international,2,0.004988586077586134
interstate,3,0.007482879116379202
intrastate,1,0.002494293038793067
irrigation,4,0.009977172155172269
issue,1,0.002494293038793067
jeff,6,0.014965758232758404
jersey,4,0.009977172155172269
jewelry,1,0.002494293038793067
joke,4,0.009977172155172269
june,2,0.004988586077586134
keep,4,0.009977172155172269
key,3,0.007482879116379202
know,1,0.002494293038793067
la,2,0.004988586077586134
labor,1,0.002494293038793067
laden,2,0.004988586077586134
land,6,0.014965758232758404
language,6,0.014965758232758404
late,3,0.007482879116379202
latest,2,0.004988586077586134
law,1,0.002494293038793067
leave,2,0.004988586077586134
leaving,2,0.004988586077586134
legal,14,0.034920102543102946
letter,26,0.06485161900861976
light,6,0.014965758232758404
limited,2,0.004988586077586134
link,2,0.004988586077586134
liquid,3,0.007482879116379202
list,4,0.009977172155172269
little,1,0.002494293038793067
log,67,0.1671176335991355
login,1,0.002494293038793067
lone,6,0.014965758232758404
lower,1,0.002494293038793067
lunch,42,0.10476030762930882
luncheon,4,0.009977172155172269
mac,1,0.002494293038793067
management,3,0.007482879116379202
march,5,0.012471465193965336
mark,16,0.039908688620689074
marketing,44,0.10974889370689496
marvelously,2,0.004988586077586134
mary,1,0.002494293038793067
master,143,0.3566839045474086
matrix,1,0.002494293038793067
matter,1,0.002494293038793067
mature,2,0.004988586077586134
maxwell,20,0.049885860775861345
meet,4,0.009977172155172269
meeting,31,0.07732308420258509
membership,2,0.004988586077586134
merger,2,0.004988586077586134
message,1,0.002494293038793067
met,2,0.004988586077586134
metropolitan,7,0.017460051271551473
michigan,4,0.009977172155172269
migration,14,0.034920102543102946
missing,1,0.002494293038793067
model,2,0.004988586077586134
month,2,0.004988586077586134
monthly,2,0.004988586077586134
morgan,1,0.002494293038793067
morning,1,0.002494293038793067
mountaineer,3,0.007482879116379202
mud,1,0.002494293038793067
museum,18,0.04489727469827521
must,4,0.009977172155172269
na,2,0.004988586077586134
name,23,0.05736873989224055
national,9,0.022448637349137605
natural,10,0.024942930387930672
need,1,0.002494293038793067
net,12,0.029931516465516807
netting,10,0.024942930387930672
new,70,0.17460051271551472
news,2,0.004988586077586134
night,1,0.002494293038793067
non,2,0.004988586077586134
nonsmoking,4,0.009977172155172269
noon,2,0.004988586077586134
north,24,0.059863032931033615
northern,4,0.009977172155172269
notice,16,0.039908688620689074
notification,7,0.017460051271551473
number,8,0.019954344310344537
observance,1,0.002494293038793067
octagon,2,0.004988586077586134
offer,6,0.014965758232758404
office,8,0.019954344310344537
oil,14,0.034920102543102946
olio,1,0.002494293038793067
operating,2,0.004988586077586134
opportunity,2,0.004988586077586134
organizational,2,0.004988586077586134
origination,2,0.004988586077586134
outage,32,0.07981737724137815
outlook,12,0.029931516465516807
overlay,2,0.004988586077586134
owner,2,0.004988586077586134
oxy,4,0.009977172155172269
parental,1,0.002494293038793067
participate,7,0.017460051271551473
partnership,2,0.004988586077586134
party,1,0.002494293038793067
password,4,0.009977172155172269
patina,2,0.004988586077586134
pay,2,0.004988586077586134
payment,1,0.002494293038793067
people,2,0.004988586077586134
period,5,0.012471465193965336
petroleum,8,0.019954344310344537
physical,1,0.002494293038793067
